,uID,Verb,Embedding,Context,Target,Prompt,ModalType,MatTense,MatSubjLemma,MatSubjPer,MatSubjNum,Embedding,genre,factive,mean.noTarget,sd.noTarget,Mean,SD,Reponses,gold_label,vote_count,agreement,mean_vote
48,BNC-1106,see,modal,``I think he ought to know about this.'' The ex-soldier said and started to rise.,Braden stepped in closer and the ex-soldier looked up almost straight up and you could see then that he was afraid but trying hard not to show it.,the ex-soldier was afraid but trying hard not to show it,AB,present,you,second,unknown,modal,BNC,yes,-0.6,1.0749677,2.75,0.46291005,"3, 3, 2, 2, 3, 3, 3, 3",entailment,8,1.000000,2.750000
57,BNC-1129,suspect,modal,And why bother to write anyway? What was there to say?,Mary had some vague idea that Adam's parents might suspect he was down here and come to see him.,Adam was down here,EP,present,parent,third,plural,modal,BNC,no,0,0,2.111111111,1.364225462,"2, 3, 3, 3, 1, 2, 3, 3, -1",entailment,9,0.888889,2.111111
67,BNC-1142,tell,modal,"``And you're not having this dress,'' Nora said, bending down to look at the price tag. ``It's two and a half guineas!''",she hissed at Louise who could tell that she was genuinely appalled.,Nora was genuinely appalled,AB,present,Louise,third,singular,modal,BNC,no,1.636363636,1.361816968,3,0,"3, 3, 3, 3, 3, 3, 3, 3, 3",entailment,9,1.000000,3.000000
68,BNC-1144,tell,modal,"``That's no problem,'' he grinned, unabashed. ``We have a perfectly efficient paging system, isn't that right, Niall?''",Lindsey saw the dark brow come down and from his thunderous expression could tell Niall was furious.,Niall was furious,AB,present,Lindsey,third,singular,modal,BNC,no,-0.5,1.314257481,2.75,0.46291005,"2, 3, 3, 2, 3, 3, 3, 3",entailment,8,1.000000,2.750000
69,BNC-1145,tell,modal,She said good morning to Alice and Alice said hallo. She was thin and rather tall with a very lined gentle face and hair that was white but which Alice could see had once been blonde.,She could also have told this was Tina's mother before Mrs Darne went off down the passage that led to the Headmaster's Flat.,this was Tina's mother,AB,past,she,third,singular,modal,BNC,no,0.125,0.353553391,2.375,0.744023809,"3, 2, 3, 2, 1, 3, 2, 3",entailment,8,1.000000,2.375000
70,BNC-1146,tell,modal,"David had obviously always known and Julia had learned that, whatever feelings were churning around inside his mother's mind, it was vital for her that they remained private. David was holding the strings in a pattern Julia had never seen before.",His face seemed to show nothing except benevolent interest but Julia could tell from the way that he was carrying his head and a certain tension in his body that they were approaching a crisis point.,David and his mother were approaching a crisis point,AB,present,Julia,third,singular,modal,BNC,no,1,1.61245155,1.875,1.356202682,"-1, 2, 2, 3, 2, 1, 3, 3",entailment,8,0.875000,1.875000
71,BNC-1147,tell,modal,"She might have sat all afternoon, nibbling and stuporous, exhausted but not sleepy. But the glazier finally came down from the upper floor, cheerfully announcing that all was now right and tight and he would be on his way.",Maggie could tell that he would have liked to stop for a chat that he felt sorry for her left on her own but she lacked either her grandmother's grace or her mother's energy so she did not offer him tea.,the glazier would have liked to stop for a chat,AB,present,Maggie,third,singular,modal,BNC,no,0.3,1.418136492,2.75,0.46291005,"3, 3, 3, 2, 3, 3, 2, 3",entailment,8,1.000000,2.750000
72,BNC-1148,tell,modal,"I'm such a coward, I hear things that aren't there. She set her lips and dragged Adam out of the fire, hooking one of his arms round her neck.",He leaned on her not wholly unconscious but she could tell he didn't know what was happening to him.,Adam didn't know what was happening to him,AB,present,she,third,singular,modal,BNC,no,0,1.5,2.875,0.353553391,"3, 3, 3, 3, 3, 3, 3, 2",entailment,8,1.000000,2.875000
73,BNC-1150,tell,modal,"Jim waited. He waited a long time, and when the young doctor finally came out, it was almost dark.",Jim could nonetheless tell by his anxious face that something was wrong.,something was wrong,AB,present,Jim,third,singular,modal,BNC,no,1.090909091,1.221027883,2.333333333,0.707106781,"1, 3, 3, 2, 2, 3, 3, 2, 2",entailment,9,1.000000,2.333333
74,BNC-1154,tell,modal,"The Colonel could tell that the noise was distracting Amanda from her pamphlet, though she gave no outward sign. It was simply that he could judge such things after living so closely with her for however many years.",He could tell she hadn't really got her nose in the Reverend Abraham.,Amanda hadn't really got her nose in the Reverend Abraham,AB,present,he,third,singular,modal,BNC,no,0.9,1.286683938,2.125,1.726888201,"2, -2, 3, 3, 3, 3, 3, 2",entailment,8,0.875000,2.125000
76,BNC-1159,tell,modal,Louise was equally anxious to see this man who had had the power to persuade her niece to go against her upbringing and character and behave so recklessly after such a brief acquaintance. Waiting in the airport she was suddenly aware of Nora striding towards her.,She was impressed by how elegant she looked and could tell by her cousin's walk that Nora also felt that she was looking good.,that Nora also felt that she was looking good,AB,present,she,third,singular,modal,BNC,no,-0.222222222,0.440958552,2.333333333,1,"3, 0, 3, 2, 2, 3, 2, 3, 3",entailment,9,0.888889,2.333333
78,BNC-1160,tell,modal,``Yes?'' ``Nathan?'',He could tell it was long-distance the line was so gravelly and hollow but he didn't recognise the voice.,the call was long-distance,AB,present,he,third,singular,modal,BNC,no,0,0,2.888888889,0.333333333,"3, 3, 3, 2, 3, 3, 3, 3, 3",entailment,9,1.000000,2.888889
79,BNC-1163,tell,modal,Chopra stood unsteadily on his feet. The shapechanger bounded around with excitement.,Chopra could tell something had happened.,something had happened,AB,present,Chopra,third,singular,modal,BNC,no,1.818181818,0.981649817,2.5,0.534522484,"2, 3, 2, 2, 2, 3, 3, 3",entailment,8,1.000000,2.500000
80,BNC-1164,tell,modal,"It seemed impossible that anyone could endure such pain for so long, but at last the doors of the Renault slammed and there was comparative silence. The engine was started up, revving violently as the car was turned round on the narrow road.",John could tell that it was being driven back up the hill towards Putna.,the car was being driven back up the hill towards Putna,AB,present,John,third,singular,modal,BNC,no,0.181818182,1.328019715,2.333333333,1.322875656,"2, 3, 3, 3, 3, 3, 2, 3, -1",entailment,9,0.888889,2.333333
81,BNC-1166,tell,modal,"Zenaida the sorceress jumped on her from behind, one hand at her throat, the other yanking at her hair.",She screeched and the bird flapping over her head screeched with her but Carmellina could tell from the look in its pale green eye that it was her true love under a spell from the wicked enchantress and she fell to her knees and clutched the skirts of Zenaida.,the bird was Carmellina's true love under a spell from the wicked enchantress,AB,present,Carmellina,third,singular,modal,BNC,no,-0.4,1.173787791,2.625,0.51754917,"2, 3, 2, 3, 2, 3, 3, 3",entailment,8,1.000000,2.625000
82,BNC-1169,tell,modal,"I didn't say anything, but kept on eating slowly.",I could tell that my father was looking at me from the other end of the table swilling his juice round in his glass and staring at my head as I bent over my plate.,his father was looking at him from the other end of the table,AB,present,I,first,singular,modal,BNC,no,0.636363636,0.809039835,3,0,"3, 3, 3, 3, 3, 3, 3, 3, 3",entailment,9,1.000000,3.000000
83,BNC-1173,tell,modal,"Just when you think you 've got it straight, along comes the Fool with his pig's bladder and whops you on the nose. By the way, I'm no idiot.",I could tell Gillian and Stuart weren't thrilled to see me at the airport.,Gillian and Stuart weren't thrilled to see her at the airport,AB,present,I,first,singular,modal,BNC,no,0.375,0.916125381,2.875,0.353553391,"3, 3, 3, 3, 3, 3, 3, 2",entailment,8,1.000000,2.875000
85,BNC-1185,tell,modal,"Except that his face, with those tobacco-stained looking eyes and drooping moustache, was always the same and you never knew what he was thinking. When he looked at you it was like he knew something he wasn't telling, or was laughing at you, no matter what it was he said.",That's when you could tell Henry Mendez was Mexican.,Henry Mendez was Mexican,AB,present,you,second,unknown,modal,BNC,no,0.090909091,1.221027883,2.625,0.744023809,"1, 3, 3, 2, 3, 3, 3, 3",entailment,8,1.000000,2.625000
103,BNC-1236,think,modal,Those people... Not a one of them realized I was not human. They looked at me and they pretend I'm someone called Franz Kafka.,Maybe they really thought I was Franz Kafka.,he was Franz Kafka,EP,present,they,third,plural,modal,BNC,no,-1.416666667,1.928651594,-2.125,1.726888201,"-3, -3, -3, -3, -2, -2, 2, -3",contradiction,8,0.875000,-2.125000
107,BNC-1252,think,modal,"He's weird enough to have undressed me without thinking, according to some mad notion of the ``proper'' thing to do.",Perhaps he thought I couldn't lie in bed with my clothes on.,she couldn't lie in bed with her clothes on,EP,past,he,third,singular,modal,BNC,no,-0.25,1.484771179,-1.875,1.457737974,"-1, 1, -3, -2, -3, -3, -1, -3",contradiction,8,0.875000,-1.875000
122,BNC-1295,understand,modal,"That is to say, I did not take sufficient account of the fact that at that time of the day, what Mr Farraday enjoys is a conversation of a lighthearted, humorous sort. Knowing this to be his likely mood when I brought in the tea yesterday afternoon, and being aware of his general propensity to talk with me in a bantering tone at such moments, it would certainly have been wiser not to have mentioned Miss Kenton at all.",But you will perhaps understand that there was a natural tendency on my part in asking what was after all a generous favour from my employer to hint that there was a good professional motive behind my request.,there was a natural tendency on her part to hint that there was a good professional motive behind her request,EP,future,you,second,unknown,modal,BNC,yes,0.444444444,1.236033081,2.625,0.51754917,"2, 3, 3, 2, 3, 3, 3, 2",entailment,8,1.000000,2.625000
123,BNC-1297,understand,modal,But don't dilly-dally for too long. Once it's published we are all going to look a little risible if we have made no adjustments to what is after all known as being predominantly my own design of gallery.,Also I am a bit older than the rest of you but you can perhaps understand that I don't want to drop dead without a proper and public recantation.,he doesn't want to drop dead without a proper and public recantation,AB,present,you,second,unknown,modal,BNC,yes,0.833333333,1.193416283,2.888888889,0.333333333,"3, 3, 3, 3, 3, 2, 3, 3, 3",entailment,9,1.000000,2.888889
126,BNC-1315,believe,negation,"``The motor was running earlier, smooth as honey.'' Lissa accepted the comfort of his assurances.",She did not really believe anything untoward was going to happen this afternoon.,something untoward was going to happen this afternoon,,present,she,third,singular,negation,BNC,no,-1.363636364,1.206045378,-1.75,1.752549164,"-3, -3, -2, -1, -1, -3, 2, -3",contradiction,8,0.875000,-1.750000
127,BNC-1317,believe,negation,``The white man has blood. That is true.'',But the white man does not believe that cattle are payment for taking someone's life.,cattle are payment for taking someone's life,,present,man,third,singular,negation,BNC,no,0.166666667,1.850470866,-2.625,0.51754917,"-2, -3, -3, -3, -3, -3, -2, -2",contradiction,8,1.000000,-2.625000
131,BNC-1335,believe,negation,"I should dearly have liked to know whether they were Europeans or Americans, but I couldn't hear the accents. They appeared to be arguing.",I hoped the white men weren't telling him to eliminate all witnesses because I don't believe it would have needed much persuasion.,eliminating all witnesses would have needed much persuasion,,present,I,first,singular,negation,BNC,no,-0.777777778,1.092906421,-1.777777778,1.6414763,"-1, -3, -2, -3, -2, 2, -3, -3, -1",contradiction,9,0.888889,-1.777778
132,BNC-1348,believe,negation,"But the damage was done as far as my faith was concerned, which is probably why I went mad. So anyway, that Christmas Eve night confirmed my worst fears, it was like a kind of ``royal flush'' for the infant Jimbo.",All three kings - Pa Santa and the King of Kings - all down the pan together... And to be honest I don't believe any of them stands a chance of ever making a comeback with me.,any of the three kings stands a chance of ever making a comeback with him,,present,I,first,singular,negation,BNC,no,-1.272727273,1.190874392,-2.555555556,0.527046277,"-3, -3, -2, -2, -2, -3, -3, -2, -3",contradiction,9,1.000000,-2.555556
135,BNC-1367,convince,negation,"He had seen something I should have, which was a car turning in from Soho Square and coming up behind me. My right foot hovered over the accelerator pedal and I balanced Armstrong on the clutch.",I wasn't as convinced as Malpass that Nevil was out of harm's way.,Nevil was out of harm's way,,present,I,first,singular,negation,BNC,no,-0.625,1.685018016,-1.333333333,0.707106781,"0, -1, -2, -2, -1, -2, -1, -2, -1",contradiction,9,0.888889,-1.333333
139,BNC-1376,feel,negation,Jed wondered. He 'd scarcely set eyes on him since the night they 'd had dinner together at the house in Westwood.,Nobody had mentioned him either and Jed didn't feel he should ask.,Jed should ask,,past,Jed,third,singular,negation,BNC,no,0.272727273,1.103712743,-1.875,0.991031209,"-3, -2, -2, -3, -2, 0, -1, -2",contradiction,8,0.875000,-1.875000
140,BNC-1380,feel,negation,"I saw the American woman kiss his hand. So she was an RC, too.",No refreshment was offered not because Monsignor wished to be inhospitable but because he didn't feel it was appropriate to the place and time.,refreshment was appropriate to the place and time,,present,he,third,singular,negation,BNC,no,-0.75,1.38873015,-2.555555556,0.726483157,"-3, -1, -3, -3, -2, -3, -3, -2, -3",contradiction,9,1.000000,-2.555556
143,BNC-1399,forget,negation,"Why should a boat be less social than a caravan, for heaven's sake? He 'd never seen Janet drinking out of a can before, either.",But he mustn't forget that it was a great occasion for old Willis who must be getting on for sixty-live ready to take the knock any day now.,it was a great occasion for old Willis,,present,he,third,singular,negation,BNC,yes,0.181818182,0.404519917,2.777777778,0.440958552,"3, 2, 3, 3, 2, 3, 3, 3, 3",entailment,9,1.000000,2.777778
145,BNC-1401,forget,negation,"Then he grilled the result on a flat stone beside the fire. Thus provisioned, he invited Louise to come to the banqueting hall to celebrate her birthday, though in a very quiet way, he assured her.",He had not forgotten that she must still be suffering on account of her father who had only recently taken his last dive down the well in the Residency yard in the wake of so many of his former patients.,Louise must still be suffering on account of her father,,past,he,third,singular,negation,BNC,yes,0.444444444,0.726483157,2,0.816496581,"3, 1, 2, 2, 1, 2, 3, 2, 3, 1",entailment,10,1.000000,2.000000
146,BNC-1404,forget,negation,"It was an extraordinary sensation, floating here in the inky darkness, with moonbeams dancing off the top of the small waves, and the twinkling stars above shining through the moth-eaten blanket of the night sky. It was as if she was all alone - a tiny speck on the ocean, surrounded by a galaxy that seemed to stretch out into infinity.",Despite being caught up in an almost mystical trance Laura had not entirely forgotten that she wasn't the only person swimming in the ocean.,Laura wasn't the only person swimming in the ocean,,present,Laura,third,singular,negation,BNC,yes,0,1.632993162,2.625,1.060660172,"3, 0, 3, 3, 3, 3, 3, 3",entailment,8,0.875000,2.625000
147,BNC-1408,forget,negation,"Yet what good came from knowing that a woman had killed herself? The children who had suffered a trauma would survive the experience, scarred by it and a little flawed by it.",They would never forget that for a week they had imagined the act of murder had been committed.,for a week the children had imagined the act of murder had been committed,,future,they,third,plural,negation,BNC,yes,0,1.195228609,2.2,1.619327707,"3, 2, 1, 3, 3, 3, -2, 3, 3, 3",entailment,10,0.900000,2.200000
