index,uID,Context,Target,mean_vote
18,BNC-1048,"That day it all came out. Constanza tried to follow her out of the hotel-as she was very very upset, my grandmother-but Constanza was too late.",You could say that she died of... moral shock.,0.875
21,BNC-106,She spoke - more slowly than she had spoken before - and Fatima listened with a concentrated intensity that she never lent to Marie Claire's requests and detailed instructions. It was evident in all their dealings that no matter how Marie Claire bestirred herself the maids would do things as they had always done them.,Now watching her I thought that Fatima might at this girl's behest change her life her ways and I wondered what she would do if she was hearing that she would find no husband have no children lose her life to Leviathan.,0.7777777777777778
26,BNC-107,Harvey thinks very highly of you and you 'll be a great comfort to him. Terrible way for young Judd to die.,It 'll help Harvey if he hears his son didn't suffer none.,1.5
33,BNC-1082,Or Alexandra? He rather thought not.,It was not something he had considered much before now but he could see that outstanding looks could be more of a curse than a blessing.,1.625
48,BNC-1111,"She was pouring a cup of tea when the solution came to her. As a member of the editorial collective of Fem Sap, it was part of her job to commission occasional articles.",She could ring Jamie and suggest that he write something for it.,1.4444444444444444
49,BNC-1114,"We saw him at the Test matches, congratulating Gooch. But we never really believed that John Major was a sports fan until we saw him on that bleak Sunday afternoon at Stamford Bridge.",True it was a televised match and some might suggest that his media advisers were earning their keep but a prime minister who endures 90 minutes of Chelsea has surely earned the benefit of the doubt.,1
50,BNC-1116,"Emily - she seemed to be her own mistress, despite the grand connections - would surely not refuse an honest offer. Yet he was not, at present, in a position to make one.",Perhaps when she had recovered from this encounter he could suggest that they become engaged albeit in an unacknowledged fashion as he could not afford a ring worthy of her.,0.8888888888888888
51,BNC-1121,"He came up with them to Four on the first floor, Tom's room. This irritated Alice.",Peter might have supposed that they were lovers from Tom's ardour and her acquiescence might have thought it not just tactful but a requirement to leave them alone together.,0.75
52,BNC-1122,"She had had very little to do with Bunny, but on their occasional meetings the girl had grown more civil of late.",Sara could only suppose that her initial suspicion had been stilled and that she accepted her Sara as part of the permanent scenery around the place.,0.625
53,BNC-1123,It seems the fellow carried out his task well enough - there are two corpses in the burial chest this morning. But who could say for certain?,Will Slaughter has gone and one might suppose another has gone with him.,0.5
54,BNC-1124,"Manville had pruned Hayman's original shortlist of five to just two names, and added a third of his own choosing from the original dossier.",The name meant virtually nothing to him and a casual observer might easily have suspected that Manville had picked it out completely at random.,0.2222222222222222
55,BNC-1127,"He would come when he would come, and the Tabula Rasa would have to bide its time, though the longer he was away the more the likelihood grew of one of their number voicing the suspicion some of them surely nurtured. That Godolphin's dealings in talismans and wantons were only the tip of the iceberg.",Perhaps they even suspected he took trips.,0.625
57,BNC-1130,"He was engaging in a war of nerves with her, Isabel realised at last, but he didn't remember. She stared back at him, unable to speak, terrified of betraying the slightest clue that might jolt his memory, but conscious of a heartfelt sense of gratitude for the fever that had kept her so busy during the morning hours.",FitzAlan might suspect that something had happened between them but he didn't know for sure.,0.75
58,BNC-1131,"She was not constructed to be attractive. Roland half wished that she was, that a merchant banker would take her out to dinner, or a shady solicitor to the Playboy Club.",He hated himself for these demeaning fantasies and was reasonably afraid that she might suspect he nourished them.,0.8888888888888888
59,BNC-1132,Ginny could only suppose that Ralph thought he was protecting her from a possible nuisance. Perhaps he thought British Council employees who received personal calls at work were instantly dismissed.,Perhaps he suspected that Peter Redburn intended to whisper obscenities in her ear.,0.375
60,BNC-1133,Still missing. Found dead.,Charlotte could almost suspect the headline had already been selected the outcome already determined.,1.25
61,BNC-1134,"Trazior did overlook such a desert, as southerly sentinel of the Palatine cluster. However, Trazior also formed part of a mega-complex of hives densely crowding a poisoned terrain, interlinked by transport tubes supported on pylons or suspended from cables.",Whoever looked out northward from the massive protective shell of Trazior might suspect that some giant world-spider nourished on venom had swung from hive to hive spinning ropes and depositing multi-millions of hatchlings in each domain.,-0.5
62,BNC-1135,"``One of the old school,'' Ramsbum kept intoning. ``God knows what'll happen to us now.''",If Ramsbum had been a human being Amiss might have suspected that he was seriously feeling grief.,0.3333333333333333
63,BNC-1136,"``If I tread too presumptuously into sacred places, reprove me,'' entreated the earl, with the submissive sweetness of a brand-new novice. Precious little chance of that happening, thought Hugh, listening and observing with a pleasure that recalled to mind some of his earliest and most tentative exchanges with Brother Cadfael, dealing trick for trick and dart for dart, and feeling their way over small battlefields to a lasting friendship.",The prior might possibly suspect that he was being teased for he was no fool but he would certainly not challenge or provoke a magnate of Robert Beaumont's stature.,1
64,BNC-1137,"It sounded plausible, but the words were a little too pat for Lorton's liking. The solution was so convenient - and for someone in Tolby's position so tactful too.",Tolby might suspect that Lorton had a hand in Newley's disappearance despite the fact that he had unwittingly provided Lorton with a partial alibi for that Sunday.,0.5555555555555556
65,BNC-1141,"``Otherwise I shall faint.'' Though the window on the stairwell was left on the latch there was always a peculiar smell in the room, a mixture of coke fumes from the hot-water pipes, peppermints and that pervasive mist of eau de Cologne sprayed so recklessly by Dawn Allenby.",Stella was afraid Babs might tell Dotty that she didn't wear a slip and that Dotty would rush out and buy her one just as she had bought her a brassiere after catching her in the wardrobe with her arms above her head about to be fitted for her Ptolemy costume.,1.8888888888888888
74,BNC-1158,"Nick rolled his eyes upwards. ``Not so bad, then.''",She wished she could tell him that Mr Evans hadn't stolen the Will after all but Nick had never thought that he had so there was no point in it.,1
76,BNC-116,"After all, they had been together for a couple of years and she did idolise him. A line cut between Ashley's brows.",If Vitor imagined she was going to demand an immediate showdown with the model he was wrong.,-1.75
83,BNC-1180,"Dam the leaks? If I do that, the Company doesn't have to know I've been interfacing data when I shouldn't.",I could tell the tutor I got scent of it before the system went down yesterday... Then everyone will think I'm some kind of spy anyway because it's hardly going to fit in with my cover of being a moron.,0.125
85,BNC-1187,"I worried about the mythic trees you used to paint. Outside, some kids, browned off with the phone-booth, had snapped a sapling rowan in half.",They may have thought they were putting it out of its misery - a lifetime beautifying the lorry-route to the A1.,-0.5
86,BNC-119,"It's true - Peter can be infuriating, she registered. And, to someone with Marc's undoubted ambition and sheer grit, he probably seems hopelessly in need of a helping hand.",She almost felt sympathy for Marc if he imagined he could change what was deeply ingrained in Peter's nature.,-0.8888888888888888
87,BNC-1194,"And if he knew why did he tell her and annoy her still further? If he did have designs on her, and a plan to marry Mr Eddie Hogan's daughter and thereby marry into the business, then why was he saying all the things that would irritate and upset her?",Perhaps he thought that her own wishes would hardly be considered in the matter.,0.75
88,BNC-120,"We must be well past Malmesbury by this time, Isabel thought. But the fortress there was an outpost, virtually surrounded by enemy castles.",It would be miles yet probably another day of travelling before they reached safer country and even if fitzAlan stubbornly insisted that he could travel the horse wouldn't go forever.,-0.75
89,BNC-1200,"Mrs Menzies had died five years before, killed by malaria and stomach trouble from their time in Bengal. Menzies himself had a yellow face with a stained-looking flush on each cheekbone, and when he felt a bout of fever coming on, he drank to drown the symptoms.",Now he looked over at Cameron taking stock of the quizzical lift of his right eyebrow when he looked out below his black fringe the down-turn of his mouth under his long curved nose and began to recapitulate his argument with care uncomfortably aware that Angus might think he was trying not to sound drunk.,0.875
90,BNC-1201,"Right then Shannon would gladly have given her entire make-up kit for a rest, but there was no way she was about to admit any weakness to him, particularly after that crack about her ``poor over-used mouth''. So he thought she talked too much, did he?",He 'd see how quiet she could be - in fact the big ox might just think he was teaching a statue male-chauvinist pig that he was.,-0.375
91,BNC-1205,"Still doubtful, the embalmer beckoned his assistants away from their other tasks.",He was probably thinking that in these times it was not worth taking the risk of offending anyone just in case they were agents of Horemheb and you ended up in an emerald mine on the Eastern Coast.,1
92,BNC-1208,"It is obvious, is it not, that if one gets emotionally involved in a problem, one can not perform as well as when one is viewing it impersonally, yes?'' ``Yes,'' Fabia agreed, but what was more than obvious to her, with Ven stressing, ``specifically'' stressing, that Lubor talk to her on an impersonal basis only, was that he still didn't trust her not to ask personal questions about him.",Hurt that he could think she would do that pest of an interview through Lubor she was certain then that she didn't even like Ven Gajdusek - much less was she attracted to him!,-0.5555555555555556
93,BNC-1211,She gazed at him through her thick lashes.,Perhaps he thought that by giving them some space Maria Luisa would get Steve out of her system.,0.5555555555555556
94,BNC-1213,It was ridiculously easy to get away and her own skill brought a grin to her face. The great Felipe had not even been around and the servants had ignored the fact that the inglesa was calmly walking towards the great gates.,Maybe they thought she was just exploring the area within the walls.,0.125
95,BNC-1217,"For a moment Leith wondered who the dickens he thought she had with her, then she remembered Naylor had been with her last night when Travis had called.",Perhaps he thought she and Naylor were so enamoured of each other that he was always there.,0.3333333333333333
96,BNC-122,"And how deeply she wished she could feel the confidence impressed upon her voice as she added with forced lightness, ``Apart from any other consideration, I still have a wet dog to find.'' Unconvinced, shaking her grey curls under the mob-cap, Mrs Tillotson did as she was bidden.",The bedroom was insufferably dark though if he insisted that the drapes should be further drawn they would open only on to a dour and leaden sky.,0.8888888888888888
97,BNC-1221,But this was different. Mother Clare's idea of covering obligations centred around the kitchen.,She thought perhaps that Eve might like to serve the breakfast in the refectory and clear away and that she should also leave classes ten minutes before lunch and be back in the refectory to serve soup to the other students when they came in.,1.25
98,BNC-1223,"His head sank so low that his collar dented his bottom lip, and Sarah had touched his arm in sympathy, earning an even stronger rebuke herself. Nahum was becoming a feverishly energetic lover.",Perhaps he thought powerful attacks on her might produce the result he longed for.,0.375
99,BNC-1224,"However did people manage to discipline themselves and stick to a single line for long enough to gain control, to come out on top, to become the boss instead of the employee? At Liz's party, last night, there had been bosses.",Charles himself was an archetypal boss and if one didn't know Liz so well one might think she was one too.,-0.5
100,BNC-1228,"Harrison knew many of the wrestlers and the rest of the morning passed pleasantly enough as he moved around the quacks and the pedlars, tinkers and gypsies and show people who were an enjoyable contrast to the farmers ' wives selling their freshly imprinted butter, with their buckets of eggs, the vegetables and poultry, rabbits, game pies, potted char, rum butter. A few of the men had taken a rare day off from the quarries and the recognitions were more generous than Harrison had anticipated.",He suspected that they might think he had used the incident of the bad teeth and the convenience of a farming father to bolt from that tough and dirty job.,0
101,BNC-1229,"His reaction on seeing them was a surprise to himself, and a shock to them. He soared higher to lure them up and then folding his wings back stooped down towards them, gaining speed with each second and transfixing the weakest-looking one with his stare.",Perhaps the hooded crows thought it was a game perhaps they misjudged his skill and speed.,-0.6666666666666666
103,BNC-1240,How Robert (at Marlborough) patronizes him now. He never talked to me about them.,Perhaps he secretly thinks I belong to the same world.,-0.7777777777777778
104,BNC-1242,"He had been almost tempted to buy some from her at a discount until he remembered her prices. Highgate Cemetery was more or less on his way to the theatre, and although it was almost all old graves without flowers, he had seen some being left regularly by some nutty Communist at the grave of Karl Marx.",The woman would probably think it was kids who had stolen them.,-0.3333333333333333
105,BNC-1246,"Even Pedro, pattering nervily about the room, seemed more restless than usual, and when he slept his dreams were troubled. Gradually Louisa began to wonder whether her father had been right after all, whether she had been as unwise as he claimed to shut herself away in this sequestered place.",At moments when her concentration was disturbed when dusk came too soon and its shadows flittered dismally about the room almost she might think she was afraid.,1.25
107,BNC-1253,It was mainly to make a good impression on the new tribe. Little Krishna ran off into the jungle.,Perhaps the little idiot thought I was going to shoot him as well.,-0.7777777777777778
108,BNC-1254,"Isabel watched him vanish beneath the barbican and felt as though she had been abandoned to face the enemy without weapons or protection. The shield of cold indifference, the sword of anger, had both been snatched from her by Ralf's warning.",Instead of worrying about what fitzAlan might do to her after her last defiant outburst she could only think that he might be in danger.,1.25
109,BNC-1256,"Lewis, sensibly, had allowed himself a lot of time. Adam would be very surprised to see him.",He would probably think something had happened to his mother and that Lewis was there as the bearer of bad news.,-0.4444444444444444
110,BNC-1257,"``I 'd have done it long ago. Now, give me some beer, and don't poison it.''",It was said as a joke but if the man had seen the evil look on Fagin's face he might have thought the warning was a necessary one.,-0.1111111111111111
111,BNC-1259,"I felt I had to make him happy after all the sad things which had happened to him, so I told him his English was very good. It was just average really.",I wonder whether he thought it was just the way the English talked or whether he thought I was peculiar... Yes I suppose you're right he probably thought I was just a harmless English eccentric!,0.2222222222222222
112,BNC-1264,"But I still wasn't sure why. Perhaps it was Nassim's mention of the baby that sparked me off, however subconsciously.",Perhaps I thought that if it was Billy's kid then somebody had to tell Lucy the bad news and if she was skipping probation it had better not be the cops.,1.4444444444444444
113,BNC-1273,Then I knew what had happened. He didn't have to tell me the rest.,I suppose I could have thought from the little he 'd said up until then that my half-brother was dead or ill or that something had happened to him but I knew then it was something Eric had done and there was only one thing he could have done which would make my father look worried.,0.2222222222222222
114,BNC-1277,"Then a man at the back of the hall began to clap, and someone else joined in. Soon the clapping became fierce applause.",Such was the enthusiasm that you might have thought that the Collector had just sung an aria.,-1.125
115,BNC-128,``But it could have been a big jet. Maybe hundreds of passengers.'',If Andropulos knew it wasn't a jet carrying hundreds of passengers his face wasn't saying so.,0.375
116,BNC-1283,"The guy with her I 'd never seen before. He was shortish and wiry, had a straight thin moustache and I guessed he was anywhere between 40 and 45.",If you couldn't see that they were outside a Registry Office you might have thought it was a man out shopping with his daughter.,-0.5555555555555556
117,BNC-1285,"No, my dear, you are just as tired as I am, and I shall rest presently in the dressing-room where I have made up a bed for myself. If I leave the door open I shall be able to hear him if his condition worsens.",To hear these ``my dears'' being so liberally dispensed you might have thought that the two girls had become bosom friends.,-0.2222222222222222
118,BNC-1291,The name Northcliffe was linked with raising equity on all five continents but not in such a conspicuous way that he himself garnered personal publicity. I never saw a photograph of him published.,You might have thought these further disclosures would have had a powerful effect on me but of course I was inured to surprise where this man was concerned.,-1.375
119,BNC-1292,"The shadow was in the form of a vast spaceship resting near ours, and the last thing it looked was shadowy. The surface was gleaming with pure white and even purer gold.",You might have thought that no meteor shower no space dust had ever touched that brilliance.,0.125
120,BNC-1294,I looked at the mouth of the mother of the girl whose mouth I couldn't get enough of kissing. I looked and I looked.,But while I saw similarities (the forehead the set of the eyes) while I could understand that other people might take them for mother and daughter it didn't work for me.,0.625
123,BNC-1305,I asked him in for a break. I liked that about him.,He never assumed the kettle was on or that I was free.,0.07692307692307693
124,BNC-1309,"Dorothea had once tried to tell her this, but Alida Thorne had flushed with anger. ``Stop patronising me,'' she had shouted, ``stop pitying me!''",The incident had never been referred to again and Dorothea did not believe that Alida would remember it.,-1.4444444444444444
127,BNC-1322,Some of them will use their votes judiciously in order to bring about whichever outcome it is they seek. The defeat of the John Major government.,No one of course believes that the Liberal Democrats can do any more than secure a hung parliament - but there is a very real possibility that this may happen and they are therefore a force to be considered.,-0.875
128,BNC-1323,"He's got a bee in his bonnet about keeping them out of remand homes and prison. I'm not against that, but you can't leave young thugs loose to go round terrorising honest folk.",As far as I can make out Deanes doesn't believe that young people should be expected to know the difference between right and wrong.,1.1111111111111112
129,BNC-1324,"Alice asked after her daughter, Mungo's mother, and complained about the price of bread. She spoke of the pain in her hands, neighbours who had passed on, and twice asked Mungo what school he was going to now.",At one stage she somehow got on to the subject of coal and said she simply did not believe it came from wood.,-0.2222222222222222
132,BNC-1351,"The answer is no, no no. Not now, not ever.",I never believed I could wish anyone dead but last night changed all that.,1.5555555555555556
133,BNC-1360,"I can't take it. They keep questioning me, always asking where I was what I did why I did it, did all of them where I was who I was with who am I trying to kid why don't I just admit I did it well if I didn't do all these things, who did?",I'm in London I'm in the nick I'm in fucking Paddington Green for Christ's sake the high-security station they use for the Provos and they think I'm so dangerous so much a security risk they've got me here and even holding me under the Prevention of Terrorism Act Jesus God because some of them still aren't convinced they aren't dealing with some unholy alliance of the IRA Welsh Nationalists and uppity jocks.,0.625
135,BNC-1373,``Knock once and enter.'' Julia could think of no appropriate reply.,In fact when she came to consider she never felt that there was any reply that she could make to Miss Coldharbour whose remarks frequently had the air of concluding conversations rather than opening them.,-0.5555555555555556
136,BNC-1374,``What had you in mind to pursue him for?'' ``What you should want to pursue him for might be different from what I would pursue him for.'',The Archdeacon didn't feel he wanted to do any pursuing.,-1.75
137,BNC-1375,Fenna had become too powerful. Maggie did not want to be a crazy person.,She wanted now at any price to be able to sit in the rooms of young women who could be her friends and not feel that she was travelling in territory stranger than the night caves that were Fenna's home.,1.25
140,BNC-1388,"I have realised all this Quincx. I wouldn't want to embarrass you, but I really can see no alternative at present.",I don't feel I can abandon Crevecoeur after having worked with hir all this time.,-1.5555555555555556
141,BNC-139,She produced another scroll. ``I have here a petition and I want you all to sign it to show those men in power that the women and children of this country think that slavery is wicked and wrong!'',Sam wondered what Mr Harker would say if he knew that one of his relatives was so keen to disrupt the cotton industry.,1.875
143,BNC-140,Not rhyming is easier than rhyming. I don't mean art should be as clear as the instructions on a packet of seeds.,I'm saying that you trust the mystifier more if you know he's deliberately choosing not to be lucid.,1.375
150,BNC-1430,"Melanie, after a while, began to notch off the weeks in her mind by the appearance of the green-banded china, ``Here comes another Sunday.'' And on Monday mornings, she would look at the little bridge on her willow pattern plate and wish she could run across it away from her Uncle Philip's house to where the flowering trees were.",But she did not guess this was how it would be on her first morning.,-0.625
152,BNC-1434,"She felt quite shaky. It had happened before, last night and yesterday morning.",She hadn't guessed then that the woman's voice was Timothy Gedge's.,1.375
153,BNC-1438,"They stood in silence, while the sun dipped in the west. And Ruth felt she hadn't understood till now what it meant, to be Jake's daughter.",She 'd never guessed that one day he would turn to her like this calling her to understand all the past and set her own strength beside his.,0.5
154,BNC-1443,She was still trying to cope with the matter when Oliver said they ought to leave if they were to meet him as planned. On the way they stopped for Rain to buy a silk scarf which complemented her blouse.,No one would have guessed she was wearing it for any other reason.,0.4444444444444444
157,BNC-1453,The kind of questions Benny never thought to ask but was always interested in the answers. She had never known that her parents met at a tennis party in a county far away.,She had never heard that Father had been apprenticed to another business in the town of Ballylee.,0.375
159,BNC-1463,"She wanted to run her fingers through his hair, wanted to nuzzle her nose and chin into his neck, wanted to know the texture of his cheek and jaw, wanted to kiss him so that her lips never forgot the shape of his. Then she found she was doing all this already, and a sigh of utter contentment shivered through her.",She had never imagined that a kiss could feel like this that a man's arms could enclose and shield her so thoroughly against any other awareness that her body would respond so passionately and so completely from the roots of her hair to the backs of her knees.,1
161,BNC-1466,"``You will see the house, child. You will see where he lived and worked and then we will discuss the future,'' Marguerite said with a finality that left Jenna astonished.",She hadn't imagined that this woman could be at all assertive but she was being exactly that now and Alain had so far said nothing at all.,0
163,BNC-1468,"``Don't think I'm going to pluck it and cook it,'' said Betty. ``If you're going to eat it you 'll have to do it all yourself.''",Lydia had not imagined or expected that Betty would touch the pheasant.,-0.3333333333333333
164,BNC-1472,"``You speak calmly, but I know you're suffering.'' ``You are original,'' he said, looking surprised.",He had clearly not imagined that men and women could discuss such deep feelings together.,0
165,BNC-1473,"Juliet drew in her breath as she gazed at it. She had always imagined Nigel's home to be large, but this was immense!",She never imagined publishers could be as wealthy as this!,0.2222222222222222
167,BNC-1475,"Had Nigel noticed she 'd left, or hadn't he missed her at all? If he had been aware that she 'd gone, he would probably have assumed that someone else had taken her home.",She didn't imagine he 'd have worried about it.,-0.3333333333333333
171,BNC-15,"He hadn't recognised the ageing, twisted features of Pat Weaver, as the man on the bike had cycled lazily past. Nor had the CI5 man who was trailing Stone... Minutes before, as Stone had slipped surreptitiously from his house, his furtive movement had been picked up by Dan Monteith, stationed at the front of the house, concealed in a neighbouring garden.",If Stone believed he had slipped quietly away to the phone box he had underestimated - or forgotten - the pursuit abilities of CI5.,-1.5
175,BNC-1508,"They pretended that what was happening was not happening, and if it were to happen, it would certainly never happen to the likes of them. ``It is wise to bear in mind how vastly superior is the individual over all the political institutions and social mechanisms which oppress him!''",They did not know that liberal humanism was powerless in the face of fascism.,1.6666666666666667
176,BNC-1512,"Tess used to rest her head on the cow's body, her eyes fixed on a distant field. The sun shone on the beautiful lines of her face.",She did not know that Clare had followed her round and sat watching her.,1.75
177,BNC-1519,"He swam away and Adam swam away and very soon after that they came out of the lake and went back to Mary on the terrace. A disturbing experience it had been, exciting and confusing.",Adam had not known he carried within his mind a directory of the forbidden.,1.4615384615384615
178,BNC-1524,Only Mr Jemps accepted. Red lit one for himself.,I had not seen him smoke before and did not know he did.,1.4166666666666667
179,BNC-1526,"But in the end I saw that Frejji was right - that Mala and I could probably stay unrecognized in the midst of a typical Uulaan carnival. And there were a couple of other things, I told myself reassuringly, that to tip the balance back a little towards our side.",First I knew that they were on Uulaa - but they wouldn't know I was.,2.125
180,BNC-1528,"She thought that he 'd not started to drink, but might at any moment. ``Tea's better for you than that stuff,'' she said pertly, as pert as the chit Angela Macleod had called her.",She did not know that Neil's anger and disgust with his old love had been fuelled more by her unpleasant reference to McAllister than anything else she had said to him.,0.375
181,BNC-1529,"He turned his horse time and again, and went ploughing through the thickest of the struggle with bared sword, exchanging strokes with any who cared to stand and debate with him. Time did not exist for him now, as long as any challenged him.",He did not even know that most of the Scottish host had already cast off everything that weighed it down and taken to flight acknowledging the truth of this meeting.,1
182,BNC-1530,"Her heart leaped into her mouth, and she paused. It was one thing imagining the scene from the comfort of her London flat but quite another to find herself going through with it.",It occurred to her that she didn't even know that it was Veronica's house.,-0.2
185,BNC-1535,"Ruth looked down, utterly unable to meet his eyes. Yet it was unjust, this anger.",She hadn't known her magic would call the half-mortals - she 'd never meant it to.,1.1
186,BNC-1538,"There were three women before her, none of whom was dressed in black. So much detail was not available to her then but she would have agreed to it all and later she would be able to describe more of the room, the contents of the cabinets, even the names of the people represented in the photographs on top of the piano.",She did not know then that this was the first of many visits to this room.,0.3333333333333333
187,BNC-1541,We start by assuming that the telephone call to Mrs. Bidwell and Lorrimer's death are connected. That means the call was made by the murderer or an accomplice.,We 'll keep an open mind about the caller's sex until we get confirmation from Bidwell but it was probably a woman probably also someone who knew that old Mr. Lorrimer was expected to be in hospital yesterday and who didn't know that the appointment had been cancelled.,2
189,BNC-1548,"Kate sipped her drink. ``If the Chief Constable knew that I was seeing Patrick, all hell would break loose.''",Kate didn't know that the Chief Constable knew all about her and Kelly.,1.625
192,BNC-1558,"But then he asks himself if people would have enjoyed the story any more had it been true, and if they would have achieved any greater insight into themselves and their destinies. Of course not.",In any case they don't know it wasn't true.,1
194,BNC-156,"The one does not exclude the other. Surely Ben would understand that, if Lou explained it properly?",Ben spent so much time playing computer games barely pausing to eat that lately I 'd sometimes wondered if he knew I existed at all.,1.625
195,BNC-1566,"I didn't know they were Twenty-fourthers, I just thought they were people wearing one shoe.",I didn't know they were after Hasan.,0.625
196,BNC-1599,"Nevertheless I can't do that. Melanie or not, it was still in confidence.",All I can say is that I didn't even know Melanie was still there that night.,0.25
197,BNC-1601,I don't know what I envisaged happening once I 'd parted you and Peter. That I would step into the gap maybe.,I was positively machiavellian - I never knew I could feel like that.,1.2222222222222223
198,BNC-1606,"And O said to me, the thing was. I couldn't remember.",I didn't even know he still had my address it all happened years before we barely even had an affair.,1.125
199,BNC-1607,``What fun to hear Artemis laugh. She's such a serious child.'',I didn't know she had a sense of humour.,0.5555555555555556
201,BNC-1616,"``We,'' said Lili, ``have just managed to force down sufficient amounts of fresh veg and protein to retain some shapeliness and complexion.'' I found it odd that Robert had chosen to distinguish me alone as English and wondered how he saw himself and Lili and I found it odd that Lili had chosen to lay claim to Englishness.",I hadn't yet learned that she was able to change her nationality as she changed her accessories to suit the occasion.,1.1111111111111112
204,BNC-1628,"After all, it was only a season ago that we were last relegated, but the spirit within the club is such that we can bounce right back, of that I am sure. Personally, I take some comfort in knowing that I in no way contributed to our exit from Division Two.",When I took over the ``Whads'' were already twenty points adrift from the rest of football and while not seeing myself beyond blame entirely my denial of any involvement in our downfall does not mean my commitment is any less than 110 per cent.,-1.125
205,BNC-1631,"Shannon knew she was being excluded from the conversation, though there was absolutely no evidence of that. She gave herself a mental shake.",Marianne was simply like many other egocentric actresses she 'd met - interested more in herself than in anything else - but that didn't necessarily mean she was trying to shut Shannon out.,-0.625
207,BNC-1635,"``A shared taste. I ought to tell you, they did talk to me about him, it can't be news to you what they are saying, that Michel has run off with your mother and that he wants to marry her.''",Which doesn't mean that I am convinced I would never rely on Rosie-Posie's gossip alone.,-1.5555555555555556
208,BNC-1636,Until I can persuade her to unbind me - or make contact with Mephistco and convince someone back at base to forgive me my trespasses just long enough to do an override - I am confined inside the plane of reflected light. But - hoo-ha!,But - hoo-ha! - this does not mean I have to stay in one particular mirror.,-1.8888888888888888
209,BNC-164,Flaubert delighted in their presence and gave them money. No doubt you wish to pat him on the head for this.,If he 'd known he was gaining the approval of the future he 'd probably have kept the money to himself.,1.25
212,BNC-1643,"For a long time she had been unaware of anything lacking, but recently she had started feeling somehow... adrift. Ashley frowned.",This did not mean she was prepared to throw herself headlong into a relationship with the first half-decent male who happened by.,-0.7777777777777778
214,BNC-1648,You know in a funny sort of way he was really rather prim. There was once some heroin floating round the college and there were two students who were the pushers that's the phrase for them I think - and they were both beaten up.,I don't mean they were just knocked about a bit... they were smashed stitches and a fractured jaw for one severe abdominal bruising for the other.,-1.75
219,BNC-1661,"``Perhaps,'' said Neil. ``Her name is Maybelle Foy - Stair says that she is not very pretty, but is enormously rich.''",For once Dr Neil engrossed in drinking his coffee did not notice that McAllister had gone very still.,1.75
227,BNC-1675,"Now that he knows it's himself he can't help noticing the slightly ridiculous and embarrassing qualities - the way the young man frowns importantly as he talks about his job, and waves his arms about when he gets stuck for words. And the way he smiles insincerely at Howard from time to time, and looks straight into his eyes in an effort to demonstrate that he is interested in Howard as well as himself.",But since he never even notices that Howard is himself Howard takes this with a pinch of salt.,1.6666666666666667
228,BNC-1676,She wouldn't shed tears over that... that brute. He didn't deserve her love - he was utterly hateful.,Immersed in her misery her fight for self-control she didn't notice that Water Gypsy was no longer under way.,1.375
